Region,Country,Item Type,Sales Channel,Order Priority,Order Date,Order ID,Ship Date,Units Sold,Unit Price,Unit Cost,Total Revenue,Total Cost,Total Profit
Europe,UK,Sports,Online,Low,2023-01-19,41,2023-04-12,28,6.80,3.20,93.70,18.80,14.10
Asia,UK,Furniture,Online,Medium,2022-11-08,42,2023-04-14,792,0.70,1.60,50.30,3.60,7.70
Australia,France,Clothing,Offline,Low,2023-02-24,43,2023-04-13,553,1.90,2.20,59.00,26.00,23.40
South America,India,Food,Online,Low,2023-01-27,44,2023-04-15,306,2.40,4.30,27.80,47.90,45.70
North America,China,Sports,Online,Low,2022-08-21,45,2023-04-09,119,2.10,1.00,8.90,19.70,14.10
Australia,Germany,Food,Offline,High,2022-04-21,46,2023-04-15,261,0.20,0.40,39.50,21.70,9.80
South America,Canada,Furniture,Online,Low,2022-10-23,47,2023-04-15,173,1.60,1.00,37.30,32.40,7.10
Europe,China,Toys,Offline,Low,2022-04-26,48,2023-04-12,260,0.70,0.20,31.90,1.50,44.90
Australia,Argentina,Sports,Offline,Medium,2022-10-06,49,2023-04-14,370,8.50,3.10,52.90,32.90,1.30
Australia,UK,Sports,Online,High,2022-09-21,50,2023-04-14,755,9.10,0.10,25.10,33.70,6.80
Europe,France,Food,Offline,Medium,2022-09-17,51,2023-04-09,559,2.90,0.40,90.40,28.10,15.50
South America,UK,Electronics,Offline,Medium,2023-01-24,52,2023-04-11,891,10.00,0.60,51.30,10.00,33.80
Australia,Canada,Toys,Online,Low,2022-12-16,53,2023-04-12,660,9.10,0.30,52.20,29.10,43.80
North America,Canada,Food,Offline,Medium,2023-02-01,54,2023-04-09,344,8.70,4.60,40.90,19.00,25.20
South America,UK,Electronics,Online,Low,2022-07-31,55,2023-04-13,749,1.10,1.10,97.30,10.50,3.90
Europe,France,Toys,Online,Low,2022-04-21,56,2023-04-09,920,2.30,4.80,1.10,46.30,48.80
Asia,Japan,Sports,Online,Low,2023-02-15,57,2023-04-15,219,9.10,2.60,8.00,22.70,49.90
North America,Germany,Sports,Online,Medium,2022-09-17,58,2023-04-09,269,1.60,3.40,30.20,40.60,43.90
Australia,Argentina,Toys,Offline,Medium,2022-07-05,59,2023-04-15,715,5.00,1.60,1.10,14.90,22.80
South America,France,Electronics,Online,High,2022-09-08,60,2023-04-14,656,5.30,0.10,19.30,8.60,40.10
Australia,Japan,Electronics,Online,Medium,2022-11-06,61,2023-04-10,971,4.30,0.50,67.70,49.10,40.70
Australia,France,Furniture,Offline,Medium,2023-03-07,62,2023-04-13,96,1.40,2.40,91.70,18.90,1.00
Europe,Argentina,Food,Offline,Medium,2022-08-22,63,2023-04-12,482,9.70,2.10,61.30,39.80,31.10
Europe,Germany,Toys,Online,High,2023-01-23,64,2023-04-11,613,0.80,1.80,92.50,30.10,46.10
South America,China,Furniture,Online,Low,2023-03-21,65,2023-04-09,736,5.70,0.60,78.00,22.80,16.10
Australia,UK,Sports,Offline,High,2022-09-09,66,2023-04-09,56,9.30,2.60,57.70,27.90,40.10
Australia,USA,Toys,Offline,High,2023-01-27,67,2023-04-09,651,8.60,3.50,35.60,17.50,22.00
South America,Japan,Furniture,Online,High,2022-06-12,68,2023-04-13,101,2.70,2.00,20.20,46.00,31.30
Europe,Argentina,Food,Online,High,2022-08-15,69,2023-04-10,230,2.20,1.30,59.80,26.80,40.30
North America,Japan,Clothing,Online,Medium,2022-06-11,70,2023-04-13,524,1.60,2.70,84.40,18.90,44.30
Asia,Argentina,Sports,Offline,Medium,2022-11-30,71,2023-04-12,895,4.50,1.10,76.30,6.90,42.40
Europe,Argentina,Furniture,Online,Low,2022-10-07,72,2023-04-15,889,9.00,4.90,92.30,23.70,35.20
North America,Mexico,Electronics,Offline,Low,2022-10-02,73,2023-04-11,8,7.00,0.60,51.10,1.70,45.30
South America,Australia,Furniture,Offline,Medium,2022-06-07,74,2023-04-15,470,4.60,0.90,98.90,33.00,26.90
Europe,Brazil,Sports,Online,High,2022-06-21,75,2023-04-15,799,3.30,1.20,1.00,35.30,18.50
Europe,India,Sports,Online,Medium,2022-10-05,76,2023-04-09,371,1.00,4.50,45.30,19.60,17.30
Asia,Germany,Clothing,Online,Medium,2022-09-17,77,2023-04-11,841,5.40,0.40,10.20,38.60,22.20
North America,Germany,Clothing,Offline,Medium,2022-11-15,78,2023-04-09,200,4.20,1.80,66.70,37.80,32.60
Europe,Germany,Sports,Offline,Low,2023-01-02,79,2023-04-10,48,10.00,4.70,86.50,4.70,45.20
Asia,Australia,Sports,Online,Medium,2022-05-25,80,2023-04-12,127,0.10,1.20,48.30,18.70,3.50
Asia,India,Clothing,Offline,Medium,2022-12-06,81,2023-04-14,383,0.10,0.60,69.40,12.50,24.60
Europe,Argentina,Sports,Offline,Low,2022-04-25,82,2023-04-14,48,7.70,0.70,47.60,2.10,9.90
Australia,France,Toys,Offline,Medium,2022-12-24,83,2023-04-14,828,5.90,2.00,44.90,16.60,37.50
South America,Germany,Furniture,Online,High,2022-09-22,84,2023-04-11,428,8.10,1.20,51.30,24.60,37.20
Australia,China,Food,Offline,High,2022-07-25,85,2023-04-13,1000,4.60,4.40,19.10,42.90,14.10
South America,UK,Electronics,Offline,Medium,2023-03-16,86,2023-04-12,946,5.40,1.90,96.80,5.50,20.40
Australia,India,Furniture,Online,High,2023-04-01,87,2023-04-12,208,0.10,0.50,88.20,22.20,10.50
South America,Germany,Sports,Offline,High,2022-12-21,88,2023-04-12,190,2.60,1.40,77.70,42.90,36.60
Europe,UK,Sports,Offline,Low,2022-07-07,89,2023-04-15,488,5.60,4.00,40.20,13.80,25.20
North America,Germany,Furniture,Online,Medium,2022-11-30,90,2023-04-11,841,0.80,4.10,14.20,25.20,29.00
Asia,Argentina,Furniture,Offline,Low,2023-01-27,91,2023-04-11,855,7.20,0.30,89.40,1.20,31.30
Europe,India,Food,Offline,Medium,2022-04-29,92,2023-04-13,592,8.60,1.10,28.30,12.40,35.30
Asia,Canada,Toys,Online,Medium,2023-01-27,93,2023-04-15,457,8.70,4.40,5.20,34.60,33.00
North America,USA,Food,Online,Low,2023-01-31,94,2023-04-11,831,4.10,2.50,80.50,26.80,31.50
North America,Japan,Toys,Online,High,2022-08-10,95,2023-04-15,336,9.50,4.90,83.10,23.00,44.70
Europe,Mexico,Toys,Online,Medium,2022-04-27,96,2023-04-15,128,4.60,1.80,98.80,0.10,46.30
Europe,Germany,Sports,Online,Low,2023-01-07,97,2023-04-09,60,2.90,0.20,86.50,32.20,42.20
Europe,Japan,Clothing,Online,Low,2022-07-04,98,2023-04-15,974,6.10,0.70,58.40,17.90,36.70
North America,China,Clothing,Offline,High,2022-07-30,99,2023-04-15,300,3.10,0.70,70.10,44.30,20.90
North America,India,Furniture,Offline,Low,2022-09-12,100,2023-04-11,191,3.80,1.00,61.90,49.70,44.80
Europe,India,Toys,Offline,High,2022-04-13,101,2023-04-13,816,0.50,1.20,68.40,8.10,47.90
Australia,France,Clothing,Offline,High,2022-12-06,102,2023-04-12,839,4.00,2.30,65.50,21.80,35.80
Europe,UK,Toys,Online,Medium,2023-01-26,103,2023-04-10,10,1.60,3.20,45.20,34.90,7.90
Europe,Germany,Sports,Online,High,2022-10-09,104,2023-04-13,407,0.90,0.20,70.40,9.80,2.90
South America,Japan,Toys,Offline,Medium,2023-01-22,105,2023-04-11,685,1.90,0.30,94.00,43.80,16.40
South America,USA,Food,Online,High,2023-02-22,106,2023-04-09,501,2.60,4.70,54.70,15.80,3.00
North America,UK,Food,Online,Medium,2022-04-30,107,2023-04-09,531,0.70,1.10,18.30,39.40,48.10
South America,UK,Food,Online,Low,2023-01-30,108,2023-04-10,50,0.80,1.90,56.70,48.90,31.90
Europe,Japan,Furniture,Online,Medium,2023-01-20,109,2023-04-11,879,8.80,2.10,20.40,24.30,0.10
South America,Brazil,Clothing,Online,Medium,2022-10-03,110,2023-04-09,237,6.70,4.30,11.40,12.70,36.10
Australia,Germany,Toys,Offline,High,2023-01-12,111,2023-04-13,994,6.80,3.70,99.30,45.70,17.40
Australia,India,Electronics,Offline,High,2022-11-17,112,2023-04-14,934,8.50,1.90,95.20,14.80,42.10
North America,Australia,Furniture,Online,Medium,2022-08-14,113,2023-04-14,222,8.60,3.60,29.20,10.30,4.40
North America,Germany,Electronics,Offline,Low,2023-02-26,114,2023-04-15,483,5.90,4.70,50.40,21.00,17.20
Europe,France,Sports,Online,High,2022-04-14,115,2023-04-14,643,0.50,3.10,51.60,38.90,9.70
Asia,Brazil,Sports,Online,Low,2022-06-03,116,2023-04-14,955,9.80,1.60,25.50,41.00,11.40
Asia,China,Electronics,Offline,Low,2022-09-10,117,2023-04-12,669,4.00,1.60,89.90,9.80,7.90
Asia,France,Furniture,Offline,High,2022-11-13,118,2023-04-15,629,0.50,0.80,62.30,42.20,10.20
Asia,UK,Toys,Online,Low,2022-06-20,119,2023-04-14,210,6.40,4.40,74.70,5.60,48.20
Asia,Germany,Clothing,Online,Medium,2022-10-11,120,2023-04-13,817,8.40,4.80,2.90,39.80,13.30
Europe,Argentina,Clothing,Online,Medium,2022-07-30,121,2023-04-09,20,0.60,0.30,94.90,0.10,12.80
Asia,Mexico,Clothing,Online,Medium,2023-02-04,122,2023-04-15,21,8.90,4.90,60.50,9.60,48.10
Asia,USA,Furniture,Online,High,2023-01-16,123,2023-04-12,34,1.20,1.80,50.60,6.40,20.00
Europe,Japan,Food,Offline,High,2022-12-19,124,2023-04-13,247,3.70,3.40,90.30,40.30,15.00
Australia,Mexico,Food,Online,Low,2022-08-06,125,2023-04-12,785,8.70,0.40,55.20,21.70,44.70
North America,UK,Food,Online,Medium,2022-06-07,126,2023-04-12,232,2.30,3.50,57.20,48.40,20.20
Europe,Mexico,Clothing,Online,Low,2022-10-07,127,2023-04-13,188,1.20,0.60,42.00,10.80,33.70
Europe,UK,Clothing,Online,High,2022-07-11,128,2023-04-15,656,5.20,1.70,3.40,30.20,21.90
Asia,UK,Electronics,Offline,Low,2023-02-05,129,2023-04-14,923,5.80,0.50,67.50,39.20,17.20
Australia,India,Toys,Online,Low,2023-03-16,130,2023-04-15,545,1.40,1.10,12.30,18.90,12.80
North America,India,Electronics,Online,Low,2023-02-28,131,2023-04-12,482,3.80,3.40,38.00,28.70,13.00
Europe,Brazil,Food,Online,High,2022-07-31,132,2023-04-13,774,6.10,0.20,78.60,15.10,33.60
North America,Japan,Food,Online,High,2022-10-15,133,2023-04-09,488,8.90,4.40,32.80,45.60,47.10
South America,France,Toys,Offline,Low,2023-03-21,134,2023-04-11,944,9.10,0.60,47.50,30.60,26.40
Asia,Canada,Furniture,Offline,Low,2022-11-23,135,2023-04-11,911,2.40,0.90,1.40,25.80,1.00
North America,Japan,Clothing,Online,Low,2023-03-09,136,2023-04-13,781,5.70,0.40,14.80,27.30,43.20
South America,Germany,Food,Online,High,2022-08-14,137,2023-04-15,707,8.70,2.10,30.50,0.40,8.50
North America,France,Clothing,Offline,Medium,2022-11-20,138,2023-04-14,680,5.30,4.00,11.10,27.20,1.70
Asia,India,Electronics,Online,Medium,2022-09-27,139,2023-04-09,604,0.90,3.30,88.90,39.80,24.70
South America,India,Food,Offline,Low,2022-08-04,140,2023-04-09,908,9.40,5.00,2.70,47.00,12.30
Europe,France,Furniture,Offline,High,2022-10-27,141,2023-04-10,937,5.10,3.50,22.80,16.30,16.70
Australia,USA,Clothing,Offline,Low,2022-10-08,142,2023-04-12,602,0.50,0.50,96.30,46.20,3.00
Asia,Brazil,Electronics,Online,Medium,2022-09-24,143,2023-04-11,373,5.20,3.70,13.20,24.40,38.60
North America,Argentina,Sports,Online,Medium,2022-09-10,144,2023-04-15,208,8.50,4.40,27.80,2.30,10.10
Asia,Brazil,Electronics,Online,Low,2022-07-28,145,2023-04-11,425,5.60,3.00,59.30,14.00,26.00
Asia,Argentina,Food,Offline,Low,2023-02-25,146,2023-04-14,227,9.50,1.60,92.90,22.70,2.40
Europe,Germany,Furniture,Online,Medium,2022-08-20,147,2023-04-11,729,2.20,3.40,82.00,43.80,8.40
Europe,Argentina,Toys,Online,Low,2022-08-01,148,2023-04-10,620,9.10,0.80,55.60,3.60,24.50
Europe,France,Sports,Offline,Low,2022-05-10,149,2023-04-12,725,6.20,4.60,1.90,15.60,37.50
Europe,Brazil,Food,Offline,Low,2022-08-15,150,2023-04-10,272,8.90,1.70,96.30,40.60,39.20
North America,Canada,Electronics,Offline,Low,2022-05-31,151,2023-04-15,994,4.20,2.90,33.10,39.60,22.70
Australia,UK,Food,Online,Medium,2022-10-29,152,2023-04-11,272,5.30,3.80,81.70,30.60,31.90
Europe,Germany,Toys,Offline,Medium,2022-12-19,153,2023-04-12,432,9.00,3.20,22.00,7.10,0.40
North America,USA,Furniture,Offline,Low,2022-11-17,154,2023-04-09,382,6.90,4.20,21.70,48.20,14.00
North America,USA,Clothing,Offline,Low,2023-02-01,155,2023-04-15,785,6.10,2.20,2.30,21.70,43.00
South America,Australia,Toys,Offline,Medium,2022-09-24,156,2023-04-12,506,2.50,1.00,75.50,17.40,32.90
Asia,Australia,Sports,Offline,Medium,2022-07-09,157,2023-04-10,408,1.70,3.10,31.90,30.30,23.10
North America,Australia,Electronics,Online,Low,2022-05-25,158,2023-04-10,664,1.30,0.10,36.10,40.50,29.20
South America,Brazil,Sports,Offline,High,2022-05-10,159,2023-04-12,180,2.50,1.70,65.10,2.00,15.80
Asia,Mexico,Furniture,Online,Medium,2022-07-17,160,2023-04-13,206,5.30,3.10,40.80,20.70,19.00
Asia,UK,Clothing,Offline,Low,2022-09-16,161,2023-04-11,470,1.80,4.80,26.00,25.60,36.30
South America,France,Furniture,Offline,Medium,2022-06-26,162,2023-04-15,677,4.70,2.30,16.60,19.00,28.30
Europe,India,Sports,Online,Medium,2022-12-09,163,2023-04-11,12,1.80,2.40,10.10,12.30,45.60
North America,USA,Sports,Online,Medium,2023-02-08,164,2023-04-10,971,8.30,1.50,40.40,47.00,3.70
North America,France,Food,Online,Medium,2022-07-22,165,2023-04-13,130,3.90,1.80,66.40,0.50,24.10
Australia,Brazil,Furniture,Offline,Medium,2022-10-06,166,2023-04-15,833,3.80,2.90,48.40,35.90,22.90
Australia,China,Furniture,Online,High,2023-02-11,167,2023-04-15,977,2.70,4.80,4.30,17.90,7.00
North America,Japan,Sports,Online,High,2022-09-11,168,2023-04-12,729,5.00,0.10,69.40,49.40,26.50
North America,Brazil,Electronics,Online,Medium,2022-08-26,169,2023-04-13,68,7.20,3.70,46.90,5.20,2.30
North America,Mexico,Food,Offline,Medium,2023-03-26,170,2023-04-09,289,6.20,2.80,24.30,22.30,22.50
North America,Argentina,Clothing,Offline,Low,2022-09-30,171,2023-04-15,26,3.90,0.30,13.70,48.10,16.40
Asia,France,Electronics,Offline,Low,2023-01-31,172,2023-04-09,211,4.00,2.00,98.00,3.80,22.50
South America,China,Food,Offline,High,2022-07-14,173,2023-04-11,755,5.50,1.10,35.50,15.20,28.10
South America,Japan,Clothing,Online,Medium,2022-08-13,174,2023-04-09,392,7.90,4.60,86.10,30.40,40.70
Europe,India,Toys,Online,Medium,2022-12-10,175,2023-04-13,35,8.70,0.20,77.50,23.30,6.00
Europe,Japan,Electronics,Online,High,2023-03-17,176,2023-04-12,676,3.30,2.40,85.10,41.50,42.50
Australia,USA,Sports,Online,Low,2023-02-23,177,2023-04-15,195,0.40,4.70,38.00,31.80,42.70
Asia,India,Toys,Offline,Medium,2022-06-09,178,2023-04-14,546,9.90,2.20,22.10,3.40,3.00
North America,Germany,Food,Online,High,2022-08-26,179,2023-04-09,314,10.00,3.80,49.30,35.50,29.70
South America,India,Food,Offline,High,2022-06-29,180,2023-04-13,635,9.60,0.50,74.80,31.30,35.70
Australia,France,Toys,Online,Medium,2022-09-24,181,2023-04-10,11,1.60,1.90,11.30,8.10,17.50
Europe,Mexico,Electronics,Online,High,2022-10-31,182,2023-04-10,727,8.00,4.30,20.80,47.10,9.10
North America,Mexico,Food,Online,High,2022-07-12,183,2023-04-12,449,3.10,3.30,31.30,42.30,9.20
North America,Argentina,Furniture,Offline,Low,2022-04-22,184,2023-04-14,868,5.50,3.40,75.80,11.50,8.70
Australia,China,Food,Online,Medium,2022-04-22,185,2023-04-14,595,9.90,0.50,28.10,41.90,13.20
South America,UK,Furniture,Online,High,2022-12-26,186,2023-04-12,879,8.50,4.40,31.70,25.80,33.80
South America,Germany,Food,Online,Low,2023-04-07,187,2023-04-13,303,6.00,4.50,63.30,13.60,38.00
Australia,Brazil,Toys,Online,High,2022-11-18,188,2023-04-14,639,4.60,0.80,49.60,39.20,30.40
South America,USA,Toys,Offline,Low,2022-07-22,189,2023-04-12,690,3.20,2.60,32.80,18.20,42.50
Europe,Mexico,Food,Offline,Low,2022-07-08,190,2023-04-12,311,0.90,3.50,80.70,11.00,21.40
North America,China,Food,Offline,High,2023-02-04,191,2023-04-14,164,1.40,4.50,16.10,40.60,4.70
Asia,Mexico,Electronics,Online,Medium,2022-12-23,192,2023-04-12,166,5.00,1.20,65.60,42.50,8.80
Australia,China,Food,Online,Low,2022-11-21,193,2023-04-11,437,6.40,2.30,42.70,49.00,6.10
North America,Mexico,Furniture,Online,High,2022-12-23,194,2023-04-11,44,9.00,4.00,43.80,23.40,26.30
North America,France,Clothing,Offline,Low,2022-09-05,195,2023-04-12,927,2.30,0.30,92.10,32.20,14.90
Asia,China,Furniture,Offline,Low,2022-05-26,196,2023-04-14,542,1.40,4.40,35.30,7.20,34.20
South America,USA,Clothing,Offline,Low,2023-03-29,197,2023-04-11,433,7.60,4.70,63.70,33.30,32.70
South America,India,Furniture,Offline,Medium,2022-08-03,198,2023-04-13,90,8.30,3.70,67.30,13.90,21.00
North America,Mexico,Sports,Online,High,2022-04-15,199,2023-04-12,352,1.70,3.00,52.00,47.40,18.10
Europe,USA,Toys,Offline,High,2023-03-31,200,2023-04-15,737,0.40,3.40,9.80,4.70,33.20
South America,India,Toys,Online,High,2023-02-22,201,2023-04-15,617,8.80,0.30,96.00,12.30,45.90
South America,Brazil,Toys,Online,Low,2022-09-10,202,2023-04-13,580,9.80,1.40,2.50,14.00,3.90
Australia,USA,Sports,Online,High,2022-12-03,203,2023-04-13,901,0.80,3.80,99.50,37.60,40.80
South America,Japan,Furniture,Offline,High,2023-02-15,204,2023-04-09,252,6.10,2.10,98.90,13.60,39.50
South America,India,Toys,Online,High,2022-05-15,205,2023-04-14,773,4.70,4.50,3.50,6.90,15.20
South America,Mexico,Sports,Online,High,2022-09-27,206,2023-04-12,466,5.60,4.90,84.40,31.60,30.10
Australia,Germany,Electronics,Offline,Medium,2022-06-03,207,2023-04-09,586,2.70,0.10,62.20,48.90,27.00
South America,Brazil,Food,Offline,High,2022-12-31,208,2023-04-12,410,7.40,0.90,56.50,2.50,32.20
Australia,Argentina,Toys,Offline,Low,2022-11-04,209,2023-04-12,829,8.10,1.90,80.00,31.50,49.30
Europe,Japan,Clothing,Offline,High,2023-02-03,210,2023-04-12,165,3.90,2.10,79.60,34.30,10.60
Europe,Mexico,Sports,Online,Low,2022-10-17,211,2023-04-11,132,9.80,4.60,68.40,32.40,38.40
South America,China,Clothing,Online,Medium,2022-11-16,212,2023-04-10,169,5.40,3.70,62.30,12.80,7.90
Asia,China,Food,Offline,Low,2022-08-16,213,2023-04-13,24,7.80,1.20,87.40,30.70,32.90
Asia,China,Food,Online,High,2022-12-17,214,2023-04-10,615,8.50,3.50,2.70,23.90,27.00
Asia,Canada,Toys,Online,Medium,2022-10-31,215,2023-04-10,390,5.40,0.60,68.30,41.40,26.60
South America,France,Clothing,Online,Low,2022-05-16,216,2023-04-13,979,9.80,1.50,44.80,7.60,27.70
North America,Germany,Sports,Online,High,2022-10-05,217,2023-04-13,765,3.80,2.60,60.40,45.20,36.90
Australia,USA,Electronics,Offline,High,2023-01-31,218,2023-04-13,413,9.20,3.40,74.90,48.90,21.60
South America,Mexico,Food,Offline,High,2022-10-16,219,2023-04-12,980,0.70,3.10,83.10,5.80,7.60
South America,Germany,Toys,Online,High,2022-10-16,220,2023-04-15,3,5.00,0.40,92.80,45.90,37.20
Australia,France,Food,Online,Medium,2023-01-04,221,2023-04-10,540,1.10,4.30,23.40,37.80,2.30
Asia,USA,Furniture,Offline,Low,2022-08-30,222,2023-04-15,202,4.80,3.50,49.60,13.10,48.40
Europe,UK,Electronics,Online,Low,2022-05-10,223,2023-04-11,495,2.30,2.40,57.00,12.80,29.90
South America,UK,Furniture,Online,Low,2022-09-28,224,2023-04-10,719,8.70,1.00,3.20,33.70,20.70
Europe,Argentina,Clothing,Offline,High,2022-07-19,225,2023-04-13,637,4.30,3.40,98.80,16.80,32.30
Asia,China,Toys,Offline,Medium,2022-08-10,226,2023-04-14,628,9.50,0.80,85.60,30.40,20.60
Europe,USA,Toys,Online,Low,2022-07-07,227,2023-04-14,278,6.50,4.80,24.50,4.30,41.30
North America,Australia,Clothing,Online,High,2022-09-18,228,2023-04-12,18,0.20,2.40,84.40,12.20,11.30
Europe,France,Electronics,Online,Low,2022-09-22,229,2023-04-09,232,1.70,2.40,41.60,42.80,24.80
Australia,Brazil,Toys,Online,Medium,2022-05-08,230,2023-04-09,104,2.50,4.20,84.60,44.30,3.60
Europe,China,Clothing,Online,High,2022-08-07,231,2023-04-12,280,2.50,1.10,15.40,22.50,11.40
South America,Brazil,Sports,Online,Low,2023-02-08,232,2023-04-14,403,2.90,0.40,41.40,27.30,15.80
South America,UK,Electronics,Offline,Low,2022-06-16,233,2023-04-13,278,4.40,4.00,52.20,14.40,22.20
Asia,Australia,Electronics,Offline,Low,2022-12-20,234,2023-04-11,11,1.00,4.80,16.40,22.60,0.50
Europe,Japan,Electronics,Offline,High,2022-08-16,235,2023-04-13,359,4.10,4.90,18.00,47.00,43.20
Australia,Japan,Toys,Online,Medium,2022-07-22,236,2023-04-10,571,3.10,0.90,20.50,3.10,14.20
Australia,Argentina,Clothing,Offline,Medium,2022-11-07,237,2023-04-13,440,6.30,1.20,93.90,28.50,11.20
Australia,Argentina,Clothing,Offline,Medium,2022-09-29,238,2023-04-15,170,8.50,0.90,88.60,10.60,32.20
North America,Japan,Sports,Offline,Low,2022-07-19,239,2023-04-10,190,8.00,2.10,64.40,23.10,48.00
South America,Argentina,Sports,Offline,Low,2022-12-30,240,2023-04-15,469,6.80,1.60,96.60,34.10,31.80
South America,India,Electronics,Online,Low,2023-03-24,241,2023-04-13,89,1.30,0.20,20.80,17.20,18.20
North America,India,Furniture,Offline,High,2022-11-06,242,2023-04-14,361,1.10,5.00,62.80,0.20,29.00
Asia,India,Furniture,Offline,Medium,2022-09-03,243,2023-04-15,125,8.90,1.90,44.00,13.90,28.00
Asia,Argentina,Food,Online,Medium,2023-02-22,244,2023-04-11,179,0.10,0.70,64.70,30.50,5.30
Europe,China,Toys,Offline,Low,2023-03-25,245,2023-04-13,209,9.60,3.00,52.20,49.60,27.80
South America,India,Electronics,Online,Low,2022-11-01,246,2023-04-11,111,7.60,4.70,20.80,12.30,18.30
Asia,China,Electronics,Online,Medium,2023-04-02,247,2023-04-15,526,2.70,3.20,18.00,29.80,34.50
